term,definition
Photosynthesis,Process by which plants convert sunlight into chemical energy
Mitochondria,Powerhouse of the cell responsible for energy production
Osmosis,Movement of water across a semipermeable membrane
Catalyst,Substance that speeds up a chemical reaction without being consumed
Enzyme,Protein that acts as a biological catalyst
Polymer,Large molecule made of repeating subunits called monomers
Carbohydrate,Organic compound with the general formula Cn(H2O)m
Protein,Macromolecule made of amino acids
Lipid,Fat or fatty acid insoluble in water
DNA,Deoxyribonucleic acid carrying genetic instructions
